provider_code,provider_name,category,game_symbol,game_name,localized_title,game_image,launch_enable,under_maintenance
1,Pragmatic Play,Slot,vs20eking,Emerald King,Emerald King,https://bo-prd-v2.meganodes.net/img/games/p1/vs20eking.jpg,True,False
1,Pragmatic Play,Slot,vs20bermuda,Bermuda Riches,Bermuda Riches,https://bo-prd-v2.meganodes.net/img/games/p1/vs20bermuda.jpg,True,False
1,Pragmatic Play,Slot,vs25asgard,Asgard,Asgard,https://bo-prd-v2.meganodes.net/img/games/p1/vs25asgard.jpg,True,False
1,Pragmatic Play,Slot,vs20santawonder,Santa's Wonderland,Santa's Wonderland,https://bo-prd-v2.meganodes.net/img/games/p1/vs20santawonder.jpg,True,False
1,Pragmatic Play,Slot,vs1024lionsd,5 Lions Dance,5 Lions Dance,https://bo-prd-v2.meganodes.net/img/games/p1/vs1024lionsd.jpg,True,False
1,Pragmatic Play,Slot,vs40bigjuan,Big Juan,Big Juan,https://bo-prd-v2.meganodes.net/img/games/p1/vs40bigjuan.jpg,True,False
1,Pragmatic Play,Slot,vs1dragon8,888 Dragons,888 Dragons,https://bo-prd-v2.meganodes.net/img/games/p1/vs1dragon8.jpg,True,False
1,Pragmatic Play,Slot,vs10bblpop,Bubble Pop,Bubble Pop,https://bo-prd-v2.meganodes.net/img/games/p1/vs10bblpop.jpg,True,False
1,Pragmatic Play,Slot,vs40pirgold,Pirate Gold Deluxe,Pirate Gold Deluxe,https://bo-prd-v2.meganodes.net/img/games/p1/vs40pirgold.jpg,True,False
1,Pragmatic Play,Slot,vs25peking,Peking Luck,Peking Luck,https://bo-prd-v2.meganodes.net/img/games/p1/vs25peking.jpg,True,False
1,Pragmatic Play,Slot,vs25dragonkingdom,Dragon Kingdom,Dragon Kingdom,https://bo-prd-v2.meganodes.net/img/games/p1/vs25dragonkingdom.jpg,True,False
1,Pragmatic Play,Slot,vs5super7,Super 7s,Super 7s,https://bo-prd-v2.meganodes.net/img/games/p1/vs5super7.jpg,True,False
1,Pragmatic Play,Slot,vs10threestar,Three Star Fortune,Three Star Fortune,https://bo-prd-v2.meganodes.net/img/games/p1/vs10threestar.jpg,True,False
1,Pragmatic Play,Slot,vs20superx,Super X,Super X,https://bo-prd-v2.meganodes.net/img/games/p1/vs20superx.jpg,True,False
1,Pragmatic Play,Slot,vs10spiritadv,Spirit of Adventure,Spirit of Adventure,https://bo-prd-v2.meganodes.net/img/games/p1/vs10spiritadv.jpg,True,False
1,Pragmatic Play,Slot,vs20mustanggld2,Clover Gold,Clover Gold,https://bo-prd-v2.meganodes.net/img/games/p1/vs20mustanggld2.jpg,True,False
1,Pragmatic Play,Slot,vs20drtgold,Drill That Gold,Drill That Gold,https://bo-prd-v2.meganodes.net/img/games/p1/vs20drtgold.jpg,True,False
1,Pragmatic Play,Slot,vs20bchprty,Wild Beach Party,Wild Beach Party,https://bo-prd-v2.meganodes.net/img/games/p1/vs20bchprty.jpg,True,False
1,Pragmatic Play,Slot,vs25btygold,Bounty Gold,Bounty Gold,https://bo-prd-v2.meganodes.net/img/games/p1/vs25btygold.jpg,True,False
1,Pragmatic Play,Slot,vs88hockattack,Hockey Attack,Hockey Attack,https://bo-prd-v2.meganodes.net/img/games/p1/vs88hockattack.jpg,True,False
1,Pragmatic Play,Slot,vswaysbbb,Big Bass Bonanza Megaways,Big Bass Bonanza Megaways,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysbbb.jpg,True,False
1,Pragmatic Play,Slot,vs20wildboost,Wild Booster,Wild Booster,https://bo-prd-v2.meganodes.net/img/games/p1/vs20wildboost.jpg,True,False
1,Pragmatic Play,Slot,vs25vegas,Vegas Nights,Vegas Nights,https://bo-prd-v2.meganodes.net/img/games/p1/vs25vegas.jpg,True,False
1,Pragmatic Play,Slot,vs20vegasmagic,Vegas Magic,Vegas Magic,https://bo-prd-v2.meganodes.net/img/games/p1/vs20vegasmagic.jpg,True,False
1,Pragmatic Play,Slot,vs5ultrab,Ultra Burn,Ultra Burn,https://bo-prd-v2.meganodes.net/img/games/p1/vs5ultrab.jpg,True,False
